journal_name,pub_name,journal_id,price,price_date_stamp,category
Gastroenterology Research and Practice,Hindawi,1687-630X,2000,2016-08-11,NA
Geofluids,Hindawi,1468-8123,1500,2016-08-11,NA
HPB Surgery,Hindawi,1607-8462,750,2016-08-11,NA
Infectious Diseases in Obstetrics and Gynecology,Hindawi,1098-0997,750,2016-08-11,NA
Interdisciplinary Perspectives on Infectious Diseases,Hindawi,1687-7098,750,2016-08-11,NA
International Journal of Agronomy,Hindawi,1687-8167,1250,2016-08-11,NA
International Journal of Analysis,Hindawi,2314-4998,1000,2016-08-11,NA
International Journal of Antennas and Propagation,Hindawi,1687-5877,1750,2016-08-11,NA
International Journal of Bacteriology,Hindawi,2314-596X,800,2016-08-11,NA
International Journal of Biomaterials,Hindawi,1687-8795,1000,2016-08-11,NA
International Journal of Cell Biology,Hindawi,1687-8884,750,2016-08-11,NA
International Journal of Chronic Diseases,Hindawi,2314-5749,750,2016-08-11,NA
International Journal of Differential Equations,Hindawi,1687-9651,1000,2016-08-11,NA
International Journal of Distributed Sensor Networks,Hindawi,1550-1477,2000,2016-08-11,NA
International Journal of Electrochemistry,Hindawi,2090-3537,1000,2016-08-11,NA
International Journal of Engineering Mathematics,Hindawi,2314-6109,750,2016-08-11,NA
International Journal of Family Medicine,Hindawi,2090-2050,750,2016-08-11,NA
International Journal of Forestry Research,Hindawi,1687-9376,750,2016-08-11,NA
International Journal of Geophysics,Hindawi,1687-8868,1000,2016-08-11,NA
International Journal of Hypertension,Hindawi,2090-0392,1000,2016-08-11,NA
International Journal of Inorganic Chemistry,Hindawi,2090-2034,600,2016-08-11,NA
International Journal of Mathematics and Mathematical Sciences,Hindawi,1687-0425,750,2016-08-11,NA
International Journal of Metals,Hindawi,2314-680X,600,2016-08-11,NA
International Journal of Microwave Science and Technology,Hindawi,1687-5834,750,2016-08-11,NA
International Journal of Navigation and Observation,Hindawi,1687-6008,600,2016-08-11,NA
International Journal of Optics,Hindawi,1687-9392,1000,2016-08-11,NA
International Journal of Peptides,Hindawi,1687-9775,800,2016-08-11,NA
International Journal of Plant Genomics,Hindawi,1687-5389,800,2016-08-11,NA
International Journal of Population Research,Hindawi,2090-4037,750,2016-08-11,NA
International Journal of Reconfigurable Computing,Hindawi,1687-7209,1000,2016-08-11,NA
International Journal of Spectroscopy,Hindawi,1687-9457,1000,2016-08-11,NA
International Journal of Surgical Oncology,Hindawi,2090-1410,750,2016-08-11,NA
International Journal of Vascular Medicine,Hindawi,2090-2832,1000,2016-08-11,NA
International Journal of Zoology,Hindawi,1687-8485,750,2016-08-11,NA
Journal of Addiction,Hindawi,2090-7850,750,2016-08-11,NA
Journal of Aging Research,Hindawi,2090-2212,750,2016-08-11,NA
Journal of Amino Acids,Hindawi,2090-0112,800,2016-08-11,NA
Journal of Applied Chemistry,Hindawi,2314-6923,600,2016-08-11,NA
Journal of Astrophysics,Hindawi,2314-6192,600,2016-08-11,NA
Journal of Biomarkers,Hindawi,2090-7699,800,2016-08-11,NA
Journal of Biophysics,Hindawi,1687-8019,750,2016-08-11,NA
Journal of Botany,Hindawi,2090-0139,750,2016-08-11,NA
Journal of Cancer Research,Hindawi,2314-6915,600,2016-08-11,NA
Journal of Ceramics,Hindawi,2090-8644,600,2016-08-11,NA
Journal of Chemistry,Hindawi,2090-9071,1500,2016-08-11,NA
Journal of Complex Analysis,Hindawi,2314-4971,1000,2016-08-11,NA
Journal of Composites,Hindawi,2314-5978,600,2016-08-11,NA
Journal of Computer Networks and Communications,Hindawi,2090-715X,1000,2016-08-11,NA
Journal of Control Science and Engineering,Hindawi,1687-5257,1250,2016-08-11,NA
Journal of Crystallography,Hindawi,2314-5994,600,2016-08-11,NA
Journal of Electrical and Computer Engineering,Hindawi,2090-0155,1250,2016-08-11,NA
Journal of Engineering,Hindawi,2314-4912,1250,2016-08-11,NA
Journal of Fluids,Hindawi,2314-6826,600,2016-08-11,NA
Journal of Food Quality,Hindawi,1745-4557,1500,2016-08-11,NA
Journal of Function Spaces,Hindawi,2314-8888,1750,2016-08-11,NA
Journal of Healthcare Engineering,Hindawi,2040-2309,1250,2016-08-11,NA
Journal of Industrial Engineering,Hindawi,2314-4890,600,2016-08-11,NA
Journal of Marine Biology,Hindawi,1687-949X,750,2016-08-11,NA
Journal of Mathematics,Hindawi,2314-4785,1000,2016-08-11,NA
Journal of Metallurgy,Hindawi,1687-9473,600,2016-08-11,NA
Journal of Nanomaterials,Hindawi,1687-4129,2000,2016-08-11,NA
Journal of Nanoscience,Hindawi,2314-6931,750,2016-08-11,NA
Journal of Neurodegenerative Diseases,Hindawi,2090-8601,800,2016-08-11,NA
Journal of Nucleic Acids,Hindawi,2090-021X,1000,2016-08-11,NA
Journal of Nutrition and Metabolism,Hindawi,2090-0732,1000,2016-08-11,NA
Journal of Oncology,Hindawi,1687-8469,1000,2016-08-11,NA
Journal of Ophthalmology,Hindawi,2090-0058,2000,2016-08-11,NA
Journal of Parasitology Research,Hindawi,2090-0031,750,2016-08-11,NA
Journal of Petroleum Engineering,Hindawi,2314-5013,600,2016-08-11,NA
Journal of Probability and Statistics,Hindawi,1687-9538,1000,2016-08-11,NA
Journal of Sensors,Hindawi,1687-7268,2000,2016-08-11,NA
Journal of Signal Transduction,Hindawi,2090-1747,800,2016-08-11,NA
Journal of Solar Energy,Hindawi,2314-6230,750,2016-08-11,NA
Journal of Spectroscopy,Hindawi,2314-4939,1500,2016-08-11,NA
Journal of Theoretical Chemistry,Hindawi,2314-6184,600,2016-08-11,NA
Journal of Thyroid Research,Hindawi,2042-0072,1000,2016-08-11,NA
Journal of Transplantation,Hindawi,2090-0015,1000,2016-08-11,NA
Journal of Veterinary Medicine,Hindawi,2314-6966,800,2016-08-11,NA
Lung Cancer International,Hindawi,2090-3200,800,2016-08-11,NA
Malaria Research and Treatment,Hindawi,2044-4362,750,2016-08-11,NA
Mediators of Inflammation,Hindawi,1466-1861,2000,2016-08-11,NA
Mobile Information Systems,Hindawi,1875-905X,2000,2016-08-11,NA
Molecular Biology International,Hindawi,2090-2190,750,2016-08-11,NA
Neural Plasticity,Hindawi,1687-5443,2000,2016-08-11,NA
Neuroscience Journal,Hindawi,2314-4270,750,2016-08-11,NA
Nursing Research and Practice,Hindawi,2090-1437,1000,2016-08-11,NA
Occupational Therapy International,Hindawi,1557-0703,1500,2016-08-11,NA
Oxidative Medicine and Cellular Longevity,Hindawi,1942-0994,2000,2016-08-11,NA
Pain Research and Treatment,Hindawi,2090-1550,1000,2016-08-11,NA
Pathology Research International,Hindawi,2042-003X,750,2016-08-11,NA
PPAR Research,Hindawi,1687-4765,1250,2016-08-11,NA
Psyche: A Journal of Entomology,Hindawi,1687-7438,750,2016-08-11,NA
Pulmonary Medicine,Hindawi,2090-1844,1000,2016-08-11,NA
Scanning,Hindawi,1932-8745,1500,2016-08-11,NA
Science and Technology of Nuclear Installations,Hindawi,1687-6083,1500,2016-08-11,NA
Scientifica,Hindawi,2090-908X,1250,2016-08-11,NA
Shock and Vibration,Hindawi,1875-9203,2000,2016-08-11,NA
Smart Materials Research,Hindawi,2090-357X,600,2016-08-11,NA
Stroke Research and Treatment,Hindawi,2042-0056,1000,2016-08-11,NA
The Scientific World Journal,Hindawi,1537-744X,750,2016-08-11,NA
Tuberculosis Research and Treatment,Hindawi,2090-1518,750,2016-08-11,NA
VLSI Design,Hindawi,1563-5171,1000,2016-08-11,NA
Active and Passive Electronic Components,Hindawi,1563-5031,1000,2016-08-11,NA
Advances in Agriculture,Hindawi,2314-7539,750,2016-08-11,NA
Advances in Artificial Neural Systems,Hindawi,1687-7608,600,2016-08-11,NA
Advances in Bioinformatics,Hindawi,1687-8035,750,2016-08-11,NA
Advances in Civil Engineering,Hindawi,1687-8094,1000,2016-08-11,NA
Advances in Condensed Matter Physics,Hindawi,1687-8124,1250,2016-08-11,NA
Advances in Hematology,Hindawi,1687-9112,750,2016-08-11,NA
Advances in Human-Computer Interaction,Hindawi,1687-5907,1000,2016-08-11,NA
Advances in Mathematical Physics,Hindawi,1687-9139,1750,2016-08-11,NA
Advances in Meteorology,Hindawi,1687-9317,2000,2016-08-11,NA
Advances in Numerical Analysis,Hindawi,1687-9570,750,2016-08-11,NA
Advances in Operations Research,Hindawi,1687-9155,1000,2016-08-11,NA
Advances in Orthopedic Surgery,Hindawi,2314-8233,600,2016-08-11,NA
Advances in Pharmacological Sciences,Hindawi,1687-6342,1250,2016-08-11,NA
Advances in Power Electronics,Hindawi,2090-1828,750,2016-08-11,NA
Advances in Software Engineering,Hindawi,1687-8663,600,2016-08-11,NA
Advances in Urology,Hindawi,1687-6377,1000,2016-08-11,NA
Algebra,Hindawi,2314-4114,600,2016-08-11,NA
Anatomy Research International,Hindawi,2090-2751,750,2016-08-11,NA
Anesthesiology Research and Practice,Hindawi,1687-6970,1000,2016-08-11,NA
Applied Bionics and Biomechanics,Hindawi,1754-2103,1250,2016-08-11,NA
Archaea,Hindawi,1472-3654,1250,2016-08-11,NA
Autism Research and Treatment,Hindawi,2090-1933,750,2016-08-11,NA
Behavioural Neurology,Hindawi,1875-8584,1500,2016-08-11,NA
Bioinorganic Chemistry and Applications,Hindawi,1687-479X,1250,2016-08-11,NA
Biotechnology Research International,Hindawi,2090-3146,750,2016-08-11,NA
Canadian Journal of Gastroenterology and Hepatology,Hindawi,2291-2797,2000,2016-08-11,NA
Canadian Respiratory Journal,Hindawi,1916-7245,1750,2016-08-11,NA
Cardiovascular Psychiatry and Neurology,Hindawi,2090-0171,800,2016-08-11,NA
Case Reports in Cardiology,Hindawi,2090-6412,500,2016-08-11,NA
Case Reports in Dentistry,Hindawi,2090-6455,400,2016-08-11,NA
Case Reports in Emergency Medicine,Hindawi,2090-6498,400,2016-08-11,NA
Case Reports in Gastrointestinal Medicine,Hindawi,2090-6536,400,2016-08-11,NA
Case Reports in Hematology,Hindawi,2090-6579,400,2016-08-11,NA
Case Reports in Immunology,Hindawi,2090-6617,500,2016-08-11,NA
Case Reports in Medicine,Hindawi,1687-9635,400,2016-08-11,NA
Case Reports in Oncological Medicine,Hindawi,2090-6714,500,2016-08-11,NA
Case Reports in Orthopedics,Hindawi,2090-6757,400,2016-08-11,NA
Case Reports in Pathology,Hindawi,2090-679X,400,2016-08-11,NA
Case Reports in Psychiatry,Hindawi,2090-6838,400,2016-08-11,NA
Case Reports in Radiology,Hindawi,2090-6870,400,2016-08-11,NA
Case Reports in Surgery,Hindawi,2090-6919,400,2016-08-11,NA
Case Reports in Urology,Hindawi,2090-6978,400,2016-08-11,NA
Case Reports in Veterinary Medicine,Hindawi,2090-701X,400,2016-08-11,NA
Child Development Research,Hindawi,2090-3995,750,2016-08-11,NA
Chinese Journal of Engineering,Hindawi,2314-8063,750,2016-08-11,NA
Cholesterol,Hindawi,2090-1291,1000,2016-08-11,NA
Complexity,Hindawi,1099-0526,2000,2016-08-11,NA
Contrast Media & Molecular Imaging,Hindawi,1555-4317,1500,2016-08-11,NA
Current Gerontology and Geriatrics Research,Hindawi,1687-7071,750,2016-08-11,NA
Depression Research and Treatment,Hindawi,2090-133X,750,2016-08-11,NA
Diagnostic and Therapeutic Endoscopy,Hindawi,1029-0516,750,2016-08-11,NA
Disease Markers,Hindawi,1875-8630,1750,2016-08-11,NA
Education Research International,Hindawi,2090-4010,1000,2016-08-11,NA
Enzyme Research,Hindawi,2090-0414,750,2016-08-11,NA
Epilepsy Research and Treatment,Hindawi,2090-1356,750,2016-08-11,NA
Genetics Research International,Hindawi,2090-3162,1000,2016-08-11,NA
Hepatitis Research and Treatment,Hindawi,2090-1372,800,2016-08-11,NA
Indian Journal of Materials Science,Hindawi,2314-7490,750,2016-08-11,NA
Influenza Research and Treatment,Hindawi,2090-1399,800,2016-08-11,NA
International Journal of Aerospace Engineering,Hindawi,1687-5974,1500,2016-08-11,NA
International Journal of Alzheimerâ€™s Disease,Hindawi,2090-0252,750,2016-08-11,NA
International Journal of Analytical Chemistry,Hindawi,1687-8779,1500,2016-08-11,NA
International Journal of Atmospheric Sciences,Hindawi,2314-4130,600,2016-08-11,NA
International Journal of Biodiversity,Hindawi,2314-4157,600,2016-08-11,NA
International Journal of Biomedical Imaging,Hindawi,1687-4196,1000,2016-08-11,NA
International Journal of Carbohydrate Chemistry,Hindawi,1687-935X,600,2016-08-11,NA
International Journal of Chemical Engineering,Hindawi,1687-8078,1250,2016-08-11,NA
International Journal of Combinatorics,Hindawi,1687-9171,600,2016-08-11,NA
International Journal of Computer Games Technology,Hindawi,1687-7055,1000,2016-08-11,NA
International Journal of Dentistry,Hindawi,1687-8736,750,2016-08-11,NA
International Journal of Digital Multimedia Broadcasting,Hindawi,1687-7586,1000,2016-08-11,NA
International Journal of Ecology,Hindawi,1687-9716,750,2016-08-11,NA
International Journal of Endocrinology,Hindawi,1687-8345,1750,2016-08-11,NA
International Journal of Evolutionary Biology,Hindawi,2090-052X,800,2016-08-11,NA
International Journal of Food Science,Hindawi,2314-5765,750,2016-08-11,NA
International Journal of Genomics,Hindawi,2314-4378,1250,2016-08-11,NA
International Journal of Inflammation,Hindawi,2042-0099,750,2016-08-11,NA
International Journal of Manufacturing Engineering,Hindawi,2314-5781,600,2016-08-11,NA
International Journal of Medicinal Chemistry,Hindawi,2090-2077,1000,2016-08-11,NA
International Journal of Microbiology,Hindawi,1687-9198,750,2016-08-11,NA
International Journal of Molecular Imaging,Hindawi,2090-1720,800,2016-08-11,NA
International Journal of Nephrology,Hindawi,2090-2158,1000,2016-08-11,NA
International Journal of Oceanography,Hindawi,1687-9414,600,2016-08-11,NA
International Journal of Otolaryngology,Hindawi,1687-921X,750,2016-08-11,NA
International Journal of Pediatrics,Hindawi,1687-9759,1000,2016-08-11,NA
International Journal of Photoenergy,Hindawi,1687-529X,1500,2016-08-11,NA
International Journal of Polymer Science,Hindawi,1687-9430,1750,2016-08-11,NA
International Journal of Proteomics,Hindawi,2090-2174,800,2016-08-11,NA
International Journal of Reproductive Medicine,Hindawi,2314-5757,750,2016-08-11,NA
International Journal of Rotating Machinery,Hindawi,1542-3034,1000,2016-08-11,NA
International Journal of Stochastic Analysis,Hindawi,2090-3340,750,2016-08-11,NA
International Journal of Telemedicine and Applications,Hindawi,1687-6423,1000,2016-08-11,NA
International Journal of Vehicular Technology,Hindawi,1687-5710,750,2016-08-11,NA
International Scholarly Research Notices,Hindawi,2356-7872,600,2016-08-11,NA
Journal of Advanced Transportation,Hindawi,2042-3195,1500,2016-08-11,NA
Journal of Allergy,Hindawi,1687-9791,750,2016-08-11,NA
Journal of Analytical Methods in Chemistry,Hindawi,2090-8873,1500,2016-08-11,NA
Journal of Anthropology,Hindawi,2090-4053,500,2016-08-11,NA
Journal of Applied Mathematics,Hindawi,1687-0042,750,2016-08-11,NA
Journal of Biomedical Education,Hindawi,2314-503X,500,2016-08-11,NA
Journal of Blood Transfusion,Hindawi,2090-9195,800,2016-08-11,NA
Journal of Catalysts,Hindawi,2314-5110,600,2016-08-11,NA
Journal of Combustion,Hindawi,2090-1976,1000,2016-08-11,NA
Journal of Computational Engineering,Hindawi,2314-6443,600,2016-08-11,NA
Journal of Construction Engineering,Hindawi,2314-5986,750,2016-08-11,NA
Journal of Diabetes Research,Hindawi,2314-6753,2000,2016-08-11,NA
Journal of Discrete Mathematics,Hindawi,2090-9845,600,2016-08-11,NA
Journal of Energy,Hindawi,2314-615X,750,2016-08-11,NA
Journal of Environmental and Public Health,Hindawi,1687-9813,750,2016-08-11,NA
Journal of Geological Research,Hindawi,1687-8841,600,2016-08-11,NA
Journal of Gravity,Hindawi,2314-6907,600,2016-08-11,NA
Journal of Immunology Research,Hindawi,2314-7156,1750,2016-08-11,NA
Journal of Lipids,Hindawi,2090-3049,1000,2016-08-11,NA
Journal of Materials,Hindawi,2314-4874,750,2016-08-11,NA
Journal of Medical Engineering,Hindawi,2314-5137,600,2016-08-11,NA
Journal of Mycology,Hindawi,2314-6168,600,2016-08-11,NA
Journal of Nanoparticles,Hindawi,2314-4858,750,2016-08-11,NA
Journal of Nanotechnology,Hindawi,1687-9511,1000,2016-08-11,NA
Journal of Nonlinear Dynamics,Hindawi,2314-6893,600,2016-08-11,NA
Journal of Operators,Hindawi,2314-5072,600,2016-08-11,NA
Journal of Optimization,Hindawi,2314-6486,1000,2016-08-11,NA
Journal of Pathogens,Hindawi,2090-3065,1250,2016-08-11,NA
Journal of Pharmaceutics,Hindawi,2090-7818,1000,2016-08-11,NA
Journal of Polymers,Hindawi,2314-6877,600,2016-08-11,NA
Journal of Quality and Reliability Engineering,Hindawi,2314-8047,600,2016-08-11,NA
Journal of Renewable Energy,Hindawi,2314-4394,750,2016-08-11,NA
Journal of Robotics,Hindawi,1687-9619,1000,2016-08-11,NA
Journal of Sexually Transmitted Diseases,Hindawi,2090-7958,800,2016-08-11,NA
Journal of Skin Cancer,Hindawi,2090-2913,1000,2016-08-11,NA
Journal of Sports Medicine,Hindawi,2314-6176,750,2016-08-11,NA
Journal of Thermodynamics,Hindawi,1687-9252,750,2016-08-11,NA
Leukemia Research and Treatment,Hindawi,2090-3227,800,2016-08-11,NA
Mathematical Problems in Engineering,Hindawi,1563-5147,2000,2016-08-11,NA
New Journal of Science,Hindawi,2090-8520,600,2016-08-11,NA
Obstetrics and Gynecology International,Hindawi,1687-9597,1000,2016-08-11,NA
Organic Chemistry International,Hindawi,2090-2018,600,2016-08-11,NA
Pain Research and Management,Hindawi,1918-1523,2000,2016-08-11,NA
Parkinsonâ€™s Disease,Hindawi,2042-0080,1250,2016-08-11,NA
Physics Research International,Hindawi,2090-2239,750,2016-08-11,NA
Plastic Surgery International,Hindawi,2090-147X,750,2016-08-11,NA
Prostate Cancer,Hindawi,2090-312X,1000,2016-08-11,NA
Psychiatry Journal,Hindawi,2314-4335,750,2016-08-11,NA
Radiology Research and Practice,Hindawi,2090-195X,1000,2016-08-11,NA
Sarcoma,Hindawi,1369-1643,750,2016-08-11,NA
Schizophrenia Research and Treatment,Hindawi,2090-2093,750,2016-08-11,NA
Scientific Programming,Hindawi,1875-919X,1500,2016-08-11,NA
Security and Communication Networks,Hindawi,1939-0122,2000,2016-08-11,NA
Sleep Disorders,Hindawi,2090-3553,750,2016-08-11,NA
Stem Cells International,Hindawi,1687-9678,2000,2016-08-11,NA
Surgery Research and Practice,Hindawi,2356-6124,750,2016-08-11,NA
Thrombosis,Hindawi,2090-1496,800,2016-08-11,NA
Ulcers,Hindawi,2090-1534,600,2016-08-11,NA
Veterinary Medicine International,Hindawi,2042-0048,750,2016-08-11,NA
Wireless Communications and Mobile Computing,Hindawi,1530-8677,2000,2016-08-11,NA
3D Research,Springer,2092-6731,3000,2016-08-11,NA
4OR,Springer,1614-2411,3000,2016-08-11,NA
The AAPS Journal,Springer,1550-7416,3000,2016-08-11,PHARMACOLOGY
AAPS PharmSciTech,Springer,1530-9932,3000,2016-08-11,PHARMACOLOGY
Academic Psychiatry,Springer,1545-7230,3000,2016-08-11,NA
Academic Questions,Springer,1936-4709,3000,2016-08-11,NA
Accreditation and Quality Assurance,Springer,1432-0517,3000,2016-08-11,NA
Acoustics Australia,Springer,1839-2571,3000,2016-08-11,NA
Acta Analytica,Springer,1874-6349,3000,2016-08-11,NA
Acta Applicandae Mathematicae,Springer,1572-9036,3000,2016-08-11,NA
Acta Biotheoretica,Springer,1572-8358,3000,2016-08-11,NA
Acta Diabetologica,Springer,1432-5233,3000,2016-08-11,NA
Acta Endoscopica,Springer,1958-5454,3000,2016-08-11,NA
acta ethologica,Springer,1437-9546,3000,2016-08-11,NA
Acta Geodaetica et Geophysica,Springer,2213-5820,3000,2016-08-11,NA
Acta Geotechnica,Springer,1861-1133,3000,2016-08-11,NA
Acta Informatica,Springer,1432-0525,3000,2016-08-11,NA
Acta Mathematica Vietnamica,Springer,2315-4144,3000,2016-08-11,NA
Acta Mechanica,Springer,1619-6937,3000,2016-08-11,NA
Acta Mechanica Sinica,Springer,1614-3116,3000,2016-08-11,NA
Acta Neurochirurgica,Springer,0942-0940,3000,2016-08-11,NA
Acta Neurologica Belgica,Springer,2240-2993,3000,2016-08-11,NA
Acta Neuropathologica,Springer,1432-0533,3000,2016-08-11,NA
Acta Physiologiae Plantarum,Springer,1861-1664,3000,2016-08-11,NA
Adaptive Human Behavior and Physiology,Springer,2198-7335,3000,2016-08-11,NA
ADHD Attention Deficit and Hyperactivity Disorders,Springer,1866-6647,3000,2016-08-11,NA
Administration and Policy in Mental Health and Mental Health Services Research,Springer,1573-3289,3000,2016-08-11,NA
Adolescent Research Review,Springer,2363-8354,3000,2016-08-11,NA
Adsorption,Springer,1572-8757,3000,2016-08-11,NA
Advances in Applied Clifford Algebras,Springer,1661-4909,3000,2016-08-11,NA
Advances in Atmospheric Sciences,Springer,1861-9533,3000,2016-08-11,NA
Advances in Computational Mathematics,Springer,1572-9044,3000,2016-08-11,NA
Advances in Data Analysis and Classification,Springer,1862-5355,3000,2016-08-11,NA
Advances in Health Sciences Education,Springer,1573-1677,3000,2016-08-11,NA
Advances in Manufacturing,Springer,2195-3597,3000,2016-08-11,NA
Advances in Therapy,Springer,1865-8652,3000,2016-08-11,NA
Aequationes mathematicae,Springer,1420-8903,3000,2016-08-11,NA
Aerobiologia,Springer,1573-3025,3000,2016-08-11,NA
Aesthetic Plastic Surgery,Springer,1432-5241,3000,2016-08-11,NA
African Archaeological Review,Springer,1572-9842,3000,2016-08-11,NA
Afrika Matematika,Springer,2190-7668,3000,2016-08-11,NA
AGE,Springer,1574-4647,3000,2016-08-11,NA
Ageing International,Springer,1936-606X,3000,2016-08-11,NA
Aging Clinical and Experimental Research,Springer,1720-8319,3000,2016-08-11,NA
Agricultural Research,Springer,2249-7218,3000,2016-08-11,NA
Agriculture and Human Values,Springer,1572-8366,3000,2016-08-11,NA
Agroforestry Systems,Springer,1572-9680,3000,2016-08-11,NA
Agronomy for Sustainable Development,Springer,1773-0155,3000,2016-08-11,NA
AI & SOCIETY,Springer,1435-5655,3000,2016-08-11,NA
AIDS and Behavior,Springer,1573-3254,3000,2016-08-11,NA
Air Quality Atmosphere & Health,Springer,1873-9326,3000,2016-08-11,NA
Algebra universalis,Springer,1420-8911,3000,2016-08-11,NA
Algebras and Representation Theory,Springer,1572-9079,3000,2016-08-11,NA
Algorithmica,Springer,1432-0541,3000,2016-08-11,NA
Alpine Botany,Springer,1664-221X,3000,2016-08-11,NA
Ambio,Springer,1654-7209,3000,2016-08-11,NA
American Journal of Cardiovascular Drugs,Springer,1179-187X,3000,2016-08-11,NA
American Journal of Clinical Dermatology,Springer,1179-1888,3000,2016-08-11,NA
American Journal of Criminal Justice,Springer,1936-1351,3000,2016-08-11,NA
American Journal of Dance Therapy,Springer,1573-3262,3000,2016-08-11,NA
American Journal of Potato Research,Springer,1874-9380,3000,2016-08-11,NA
The American Sociologist,Springer,1936-4784,3000,2016-08-11,NA
Amino Acids,Springer,1438-2199,3000,2016-08-11,NA
AMS Review,Springer,1869-8182,3000,2016-08-11,NA
Der Anaesthesist,Springer,1432-055X,3000,2016-08-11,NA
Analog Integrated Circuits and Signal Processing,Springer,1573-1979,3000,2016-08-11,NA
Analysis and Mathematical Physics,Springer,1664-235X,3000,2016-08-11,NA
Analytical and Bioanalytical Chemistry,Springer,1618-2650,3000,2016-08-11,NA
Anatomical Science International,Springer,1447-073X,3000,2016-08-11,NA
Angiogenesis,Springer,1573-7209,3000,2016-08-11,NA
Animal Cognition,Springer,1435-9456,3000,2016-08-11,NA
ANNALI DELL'UNIVERSITA' DI FERRARA,Springer,1827-1510,3000,2016-08-11,NA
Annali di Matematica Pura ed Applicata (1923 -),Springer,1618-1891,3000,2016-08-11,NA
Annals of Behavioral Medicine,Springer,1532-4796,3000,2016-08-11,NA
Annals of Biomedical Engineering,Springer,1573-9686,3000,2016-08-11,NA
Annals of Combinatorics,Springer,0219-3094,3000,2016-08-11,NA
Annals of Data Science,Springer,2198-5812,3000,2016-08-11,NA
Annals of Dyslexia,Springer,1934-7243,3000,2016-08-11,NA
Annals of Finance,Springer,1614-2454,3000,2016-08-11,NA
Annals of Forest Science,Springer,1297-966X,3000,2016-08-11,NA
Annals of Global Analysis and Geometry,Springer,1572-9060,3000,2016-08-11,NA
Annals of Hematology,Springer,1432-0584,3000,2016-08-11,NA
Annals of Mathematics and Artificial Intelligence,Springer,1573-7470,3000,2016-08-11,NA
Annals of Microbiology,Springer,1869-2044,3000,2016-08-11,NA
Annals of Nuclear Medicine,Springer,1864-6433,3000,2016-08-11,NA
Annals of Operations Research,Springer,1572-9338,3000,2016-08-11,NA
Annals of PDE,Springer,2199-2576,3000,2016-08-11,NA
The Annals of Regional Science,Springer,1432-0592,3000,2016-08-11,NA
Annals of Solid and Structural Mechanics,Springer,1867-6944,3000,2016-08-11,NA
Annals of Surgical Oncology,Springer,1534-4681,3000,2016-08-11,NA
Annals of Telecommunications,Springer,1958-9395,3000,2016-08-11,NA
Antonie van Leeuwenhoek,Springer,1572-9699,3000,2016-08-11,NA
Apidologie,Springer,1297-9678,3000,2016-08-11,NA
Apoptosis,Springer,1573-675X,3000,2016-08-11,NA
Applicable Algebra in Engineering Communication and Computing,Springer,1432-0622,3000,2016-08-11,NA
Applied Biochemistry and Biotechnology,Springer,1559-0291,3000,2016-08-11,NA
Applied Categorical Structures,Springer,1572-9095,3000,2016-08-11,NA
Applied Composite Materials,Springer,1573-4897,3000,2016-08-11,NA
Applied Entomology and Zoology,Springer,1347-605X,3000,2016-08-11,NA
Applied Geomatics,Springer,1866-928X,3000,2016-08-11,NA
Applied Health Economics and Health Policy,Springer,1179-1896,3000,2016-08-11,NA
Applied Intelligence,Springer,1573-7497,3000,2016-08-11,NA
Applied Magnetic Resonance,Springer,1613-7507,3000,2016-08-11,NA
Applied Mathematics & Optimization,Springer,1432-0606,3000,2016-08-11,NA
Applied Microbiology and Biotechnology,Springer,1432-0614,3000,2016-08-11,NA
Applied Physics A,Springer,1432-0630,3000,2016-08-11,NA
Applied Physics B,Springer,1432-0649,3000,2016-08-11,NA
Applied Psychophysiology and Biofeedback,Springer,1573-3270,3000,2016-08-11,NA
Applied Research in Quality of Life,Springer,1871-2576,3000,2016-08-11,NA
Applied Spatial Analysis and Policy,Springer,1874-4621,3000,2016-08-11,NA
Aquaculture International,Springer,1573-143X,3000,2016-08-11,NA
Aquatic Ecology,Springer,1573-5125,3000,2016-08-11,NA
Aquatic Geochemistry,Springer,1573-1421,3000,2016-08-11,NA
Aquatic Sciences,Springer,1420-9055,3000,2016-08-11,NA
Arabian Journal of Geosciences,Springer,1866-7538,3000,2016-08-11,NA
Arabian Journal for Science and Engineering,Springer,2191-4281,3000,2016-08-11,NA
Archaeological and Anthropological Sciences,Springer,1866-9565,3000,2016-08-11,NA
Archaeologies,Springer,1935-3987,3000,2016-08-11,NA
Archiv der Mathematik,Springer,1420-8938,3000,2016-08-11,NA
Archival Science,Springer,1573-7519,3000,2016-08-11,NA
Archive of Applied Mechanics,Springer,1432-0681,3000,2016-08-11,NA
Archive for History of Exact Sciences,Springer,1432-0657,3000,2016-08-11,NA
Archive for Mathematical Logic,Springer,1432-0665,3000,2016-08-11,NA
Archive for Rational Mechanics and Analysis,Springer,1432-0673,3000,2016-08-11,NA
Archives of Computational Methods in Engineering,Springer,1886-1784,3000,2016-08-11,NA
Archives of Dermatological Research,Springer,1432-069X,3000,2016-08-11,NA
Archives of Environmental Contamination and Toxicology,Springer,1432-0703,3000,2016-08-11,NA
Archives of Gynecology and Obstetrics,Springer,1432-0711,3000,2016-08-11,NA
Archives of Microbiology,Springer,1432-072X,3000,2016-08-11,NA
Archives of Orthopaedic and Trauma Surgery,Springer,1434-3916,3000,2016-08-11,NA
Archives of Osteoporosis,Springer,1862-3514,3000,2016-08-11,NA
