"issn","journal_name","pub_name",is_hybrid,"category","url"
"2052-336X","Journal of Environmental Health Science and Engineering","BioMed Central",0,"Technology",""
"2052-4374","Annals of Occupational and Environmental Medicine","BioMed Central",0,"Medicine","http://aoemj.biomedcentral.com"
"2052-4412","Regeneration","Wiley",0,"Science","http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2052-4412"
"2052-4439","BMJ Open Respiratory Research","BMJ Publishing Group Ltd",0,"Medicine","http://bmjopenrespres.bmj.com/"
"2052-4463","Scientific Data","Nature Publishing Group",0,"Science",""
"2052-4897","BMJ Open Diabetes Research & Care","BMJ Publishing Group",0,"Medicine","http://drc.bmj.com/"
"2052-4994","Journal of Cancer Research & Therapy","  NobleResearch Publishers",0,"Medicine","http://nobleresearch.org/Journal/1"
"2052-5397","Modern Languages Open","Liverpool University Press",0,"Language and Literature","http://www.modernlanguagesopen.org"
"2052-6113","Veterinary Record Open","BMJ Publishing Group",0,"Agriculture","http://vetrecordopen.bmj.com/"
"2052-6156","Geotechnical Research","ICE Publishing",0,"Technology","http://www.icevirtuallibrary.com/toc/jgere/current"
"2052-6458","Wildfowl","Wildfowl & Wetlands Trust",0,"Science","http://wildfowl.wwt.org.uk"
"2052-6687","Canine Genetics and Epidemiology","BioMed Central",0,"Science","http://www.cgejournal.org/"
"2052-7276","Horticulture Research","Nature Publishing Group",0,"Science",""
"2052-773X","The Computer Games Journal","Springer",1,NULL,NULL
"2052-8396","Space and Culture, India","ACCB Publishing",0,"Geography. Anthropology. Recreation","http://www.spaceandculture.in"
"2052-8426","Molecular and Cellular Therapies","BioMed Central",0,"Science","http://www.molcelltherapies.com/"
"2052-9538","BMC Obesity","BioMed Central",0,"Medicine","http://www.biomedcentral.com/bmcobes"
"2052-9597","Philosophy of Management","Springer",1,NULL,NULL
"2053-1095","Veterinary Medicine and Science","Wiley",0,"Agriculture","http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2053-1095"
"2053-1265","International Journal of  Advance Agricultural Research","BluePen Journals",0,NULL,""
"2053-1680","Research & Politics","SAGE Publishing",0,"Political science","http://rap.sagepub.com"
"2053-180X","International Journal of  Modern Biological Research","BluePen Journals",0,NULL,""
"2053-1818","International Journal of Applied Microbiology and Biotechnology Research","BluePen Journals",0,NULL,""
"2053-1826","Journal of Medicinal Plants  and Herbal Therapy Research","BluePen Journals",0,NULL,""
"2053-1834","International Journal of Modern and  Alternative Medicine Research","BluePen Journals",0,NULL,""
"2053-1842","International Journal of Business and Finance Management Research","BluePen Journals",0,NULL,""
"2053-1915","International Journal of Welsh Writing in English","University of Wales Press",0,"Literature","http://ijwwe.uwp.co.uk/"
"2053-2105","Advanced Journal of Education Research","Advanced Scholars Journals",0,NULL,""
"2053-2393","Journal of Compassionate Health Care","BioMed Central",0,"Medicine","http://www.jcompassionatehc.com/"
"2053-3535","Journal of Engineering and Manufacturing Technology","BluePen Journals",0,NULL,""
"2053-3624","Open Heart","BMJ Publishing Group",0,"Medicine","http://openheart.bmj.com"
"2053-3721","JMM Case Reports","Society for General Microbiology",0,"Medicine | Science","http://jmmcr.sgmjournals.org/content/journal/jmmcr"
"2053-4213","European Medical Journal Urology","European Medical Journal",0,"Medicine","http://emjreviews.com/therapeutic-area/urology/"
"2053-4221","European Medical Journal Hepatology","European Medical Journal",0,"Medicine","http://emjreviews.com/therapeutic-area/hepatology/"
"2053-4248","European Medical Journal : Nephrology","Gorely New Media",0,"Medicine","http://www.emjreviews.com/home/nephrology/"
"2053-4825","Governance in Africa","Ubiquity Press",0,"Political science","http://www.govafricajournal.org/"
"2053-5341","Utrecht Journal of International and European Law","Ubiquity Press",0,"Law","http://www.utrechtjournal.org"
"2053-6712","Secularism and Nonreligion","Ubiquity Press",0,"Philosophy. Psychology. Religion","http://www.secularismandnonreligion.org/"
"2053-6844","Gynecologic Oncology Research and Practice","BioMed Central",0,"Medicine","http://www.gynoncrp.com/"
"2053-7166","Avian Research","BioMed Central",0,"Science",""
"2053-7565","Climate Change Responses","BioMed Central",0,"Geography. Anthropology. Recreation","http://www.climatechangeresponses.com/"
"2053-7646","IALS Student Law Review","University of London",0,"Law","http://journals.sas.ac.uk/lawreview/"
"2053-8790","Lupus Science and Medicine ","BMJ Publishing Group",0,"Medicine","http://lupus.bmj.com/"
"2053-8855","Oxford Medical Case Reports","Oxford University Press",0,"Medicine","http://omcr.oxfordjournals.org/"
"2053-8871","Cerebellum & Ataxias","BioMed Central",0,"Medicine","http://www.cerebellumandataxias.com/"
"2053-9517","Big Data & Society","SAGE Publishing",0,"General Works","http://bds.sagepub.com"
"2053-9665","Exchanges: The Warwick Research Journal","University of Warwick",0,"General Works","http://exchanges.warwick.ac.uk"
"2053-9711","Journal of Law and the Biosciences","Oxford University Press",0,"Law","http://jlb.oxfordjournals.org/"
"2054-1058","Nursing Open","Wiley",0,"Medicine","http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2054-1058"
"2054-1961","The Scottish Journal of Performance","Royal Conservatoire of Scotland",0,"Fine Arts","http://www.scottishjournalofperformance.org/"
"2054-2690","Women's Midlife Health","BioMed Central",0,"Medicine","http://womensmidlifehealthjournal.biomedcentral.com/"
"2054-2704","JRSM Open","SAGE Publishing",0,"Medicine","http://shr.sagepub.com/"
"2054-3085","Fungal Biology and Biotechnology","BioMed Central",0,"Technology","http://www.fungalbiolbiotech.com/"
"2054-314X","Disaster and Military Medicine","BioMed Central",0,"Medicine","http://www.disastermilitarymedicine.com/"
"2054-345X","Human Genome Variation","Nature Publishing Group",0,"Science","http://www.nature.com/hgv/"
"2054-3581","Canadian Journal of Kidney Health and Disease","SAGE Publishing",0,"Medicine","http://cjk.sagepub.com/"
"2054-4049","Geo: Geography and Environment","Wiley",0,"Geography. Anthropology. Recreation","http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2054-4049"
"2054-4251","Global Mental Health","Cambridge University Press",0,"Medicine","https://www.cambridge.org/core/journals/global-mental-health"
"2054-4529","European Medical Journal Neurology","European Medical Journal",0,"Medicine","http://emjreviews.com/therapeutic-area/neurology/"
"2054-4774","BMJ Open Gastroenterology","BMJ Publishing Group",0,"Medicine","http://bmjopengastro.bmj.com/"
"2054-5703","Royal Society Open Science","The Royal Society",0,"Science",""
"2054-5770","Science Museum Group Journal","Science Museum, London",0,"General Works","http://journal.sciencemuseum.org.uk/"
"2054-6181","European Medical Journal Diabetes","European Medical Journal",0,"Medicine","http://emjreviews.com/therapeutic-area/diabetes/"
"2054-619X","European Medical Journal Oncology","European Medical Journal",0,"Medicine","http://emjreviews.com/therapeutic-area/oncology/"
"2054-6203","European Medical Journal Gastroenterology","European Medical Journal",0,"Medicine","http://emjreviews.com/therapeutic-area/gastroenterology/"
"2054-670X","Psychologica Belgica","Ubiquity Press",0,"Philosophy. Psychology. Religion","http://www.psychologicabelgica.com/"
"2054-703X","Evidence-Based Preclinical Medicine","Wiley",0,"Medicine","http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2054-703X"
"2054-7064","Asthma Research and Practice","BioMed Central",0,"Medicine","http://www.asthmarp.com/"
"2054-7072","Journal of Clinical Movement Disorders","BioMed Central",0,"Medicine","http://www.clinicalmovementdisorders.com/"
"2054-7099","Fertility Research and Practice","BioMed Central",0,"Medicine","http://www.fertilityresearchandpractice.com/"
"2054-7102","Open Health Data","Ubiquity Press",0,"Medicine","http://openhealthdata.metajnl.com"
"2054-8397","Journal of Hip Preservation Surgery","Oxford University Press",0,"Medicine","http://jhps.oxfordjournals.org/ "
"2054-8923","Science and Technology of Archaeological Research","Maney Publishing",0,"Auxiliary sciences of history","http://www.maneyonline.com/loi/sta"
"2054-9040","COPD Research and Practice","BioMed Central",0,"Medicine","http://www.copdrp.com/"
"2054-9369","Military Medical Research","BioMed Central",0,"Medicine","http://www.mmrjournal.org/"
"2054-958X","Maternal Health, Neonatology and Perinatology","BioMed Central",0,"Medicine","http://www.mhnpjournal.com/"
"2054-9849","Nternational Journal of Higher Education Management","The Academy of Business & Retail Management (ABRM)",0,NULL,""
"2054-9857","Nternational Journal of Higher Education Management","The Academy of Business & Retail Management (ABRM)",0,NULL,""
"2055-0294","Journal of Pharmaceutical Health Care and Sciences","BioMed Central",0,"Medicine","http://www.jphcs.net/"
"2055-0391","Journal of Animal Science and Technology","BioMed Central",0,"Agriculture","http://www.janimscitechnol.com/"
"2055-0464","Echo Research and Practice","BioScientifica",0,"Medicine","http://www.echorespract.com/"
"2055-0472","Journal of Lithic Studies","University of Edinburgh",0,"Auxiliary sciences of history","http://journals.ed.ac.uk/lithicstudies/"
"2055-0928","BMC Nutrition","BioMed Central",0,"Technology","http://www.biomedcentral.com/bmcnutr"
"2055-0936","Tropical Diseases, Travel Medicine and Vaccines","BioMed Central",0,"Medicine","http://www.tdtmvjournal.com/"
"2055-1010","Npj Primary Care Respiratory Medicine","Nature Publishing Group",0,"Medicine",""
"2055-1029","Health Psychology Open","SAGE Publishing",0,"Philosophy. Psychology. Religion","http://hpo.sagepub.com"
"2055-1045","Palgrave Communications","Palgrave Macmillan",0,"Social Sciences","http://www.palgrave-journals.com/palcomms/"
"2055-1169","Journal of Feline Medicine and Surgery Open Reports","SAGE Publishing",0,"Agriculture","http://jor.sagepub.com/"
"2055-2076","Digital Health","SAGE Publishing",0,"Medicine","http://dhj.sagepub.com/"
"2055-2173","Multiple Sclerosis Journal - Experimental, Translational and Clinical","SAGE Publishing",0,"Medicine","http://mso.sagepub.com/"
"2055-2238","Obesity Science & Practice","Wiley",0,"Medicine","http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2055-2238"
"2055-298X","Open Quaternary","Ubiquity Press",0,"Geography. Anthropology. Recreation","http://www.openquaternary.com/"
"2055-4788","Neuropsychiatric Electrophysiology","BioMed Central",0,"Medicine","http://www.npepjournal.com/"
"2055-4877","The Depositional Record","Wiley",0,"Science","http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2055-4877"
"2055-5008","Npj Biofilms and Microbiomes","Nature Publishing Group",0,"Science","http://www.nature.com/npjbiofilms/"
"2055-5660","Porcine Health Management","BioMed Central",0,"Medicine","http://www.porcinehealthmanagement.com/"
"2055-5784","Pilot and Feasibility Studies","BioMed Central",0,"Medicine","http://www.pilotfeasibilitystudies.com/"
"2055-5792","Neurovascular Imaging","BioMed Central",0,"Medicine","http://nvijournal.biomedcentral.com/"
"2055-5822","ESC Heart Failure","Wiley",0,"Medicine","http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2055-5822"
"2055-7124","Biomaterials Research","BioMed Central",0,"Science","http://www.biomaterialsres.com/"
"2055-7426","Contraception and Reproductive Medicine","Biomed Central",0,NULL,NULL
"2055-7434","Microsystems & Nanoengineering","Nature Publishing Group",0,"Technology","http://www.nature.com/micronano"
"2055-7647","BMJ Open Sport & Exercise Medicine","BMJ Group Ltd",0,"Medicine","http://bmjopensem.bmj.com"
"2055-8198","Press Start","University of Glasgow",0,"Science","http://press-start.gla.ac.uk/"
"2055-8260","Clinical Diabetes and Endocrinology","BioMed Central",0,"Medicine","http://www.clindiabetesendo.com/"
"2056-3051","Social Media + Society","SAGE Publishing",0,"Language and Literature","http://sms.sagepub.com"
"2056-306X","Zoological Letters","BioMed Central",0,"Science","http://www.zoologicalletters.com/"
"2056-3132","Bmc Zoology","Biomed Central",0,NULL,NULL
"2056-3426","Regenerative Biomaterials","Oxford University Press",0,"Technology","http://rb.oxfordjournals.org/ "
"2056-3485","Remote Sensing in Ecology and Conservation","Wiley",0,"Technology | Science","http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2056-3485"
"2056-3973","Npj Aging and Mechanisms of Disease","Nature Publishing Group",0,"Medicine","http://www.nature.com/npjamd"
"2056-4538","The Journal of Pathology: Clinical Research","Wiley",0,"Medicine","http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2056-4538"
"2056-5135","Johnson Matthey Technology Review","Johnson Matthey Plc",0,"Technology",""
"2056-5623","Future Science OA","Future Science Ltd",0,"Medicine","http://www.future-science.com/loi/fso"
"2056-5909","Clinical Hypertension","BioMed Central",0,"Medicine","http://www.clinicalhypertension.com/"
"2056-5917","Safety in Health","BioMed Central",0,"Medicine","http://www.safetyinhealth.com/"
"2056-5933","RMD Open","BMJ Publishing Group Ltd",0,"Medicine","http://rmdopen.bmj.com/"
"2056-5968","Cell Discovery","Nature Publishing Group",0,"Science","http://www.nature.com/celldisc/"
"2056-6115","Multiple Sclerosis and Demyelinating Disorders","BioMed Central",0,"Medicine","http://msddjournal.biomedcentral.com/"
"2056-6271","Journal of Business & Retail Management Research (JBRMR)","The Academy of Business & Retail Management (ABRM)",0,NULL,""
"2056-6387","Npj Quantum Information","Nature Publishing Group",0,"Science",""
"2056-6395","European Medical Journal Rheumatology","European Medical Journal",0,"Medicine","http://emjreviews.com/therapeutic-area/rheumatology/"
"2056-6670","The Bridge: Journal of Educational Research - Informed Practice","University of Leicester",0,"Education","https://journaleducationalresearchinformedpractice.wordpress.com"
"2056-6700","Open Library of Humanities","Open Library of Humanities",0,"General Works","https://olh.openlibhums.org/"
"2056-7251","Journal of Congenital Cardiology","Biomed Central",0,NULL,NULL
"2056-7405","Journal of Agricultural and Applied Economics","Cambridge University Press",0,"Agriculture","https://www.cambridge.org/core/journals/journal-of-agricultural-and-applied-economics"
"2056-7529","Research Involvement and Engagement","BioMed Central",0,"Medicine","http://www.researchinvolvement.com/"
"2056-7936","Npj Science of Learning","Nature Publishing Group",0,"Education","http://www.nature.com/npjscilearn"
"2056-7944","Npj Genomic Medicine","Nature Publishing Group",0,"Medicine | Science","http://www.nature.com/npjgenmed/"
"2056-9211","James Baldwin Review","Manchester University Press",0,"Language and Literature","http://jbr.openlibrary.manchester.ac.uk/index.php/jbr"
"2056-9238","The Luminary","Lancaster University",0,"Fine Arts","http://www.lancs.ac.uk/luminary"
"2056-9726","International Journal of  Research and Reviews in Education","BluePen Journals",0,NULL,""
"2056-9734","International Journal of  Food Research","BluePen Journals",0,NULL,""
"2056-9793","Journal of Media Critiques","University of Lincoln ",0,"Language and Literature","http://mediacritiques.net/index.php/jmc"
"2056-9890","Acta Crystallographica Section E: Crystallographic Communications","International Union of Crystallography",0,"Science","http://journals.iucr.org/e/"
"2056-9920","International Journal of Retina and Vitreous ","BioMed Central",0,"Medicine","http://www.journalretinavitreous.com/"
"2057-0082","Archives of Physiotherapy","BioMed Central",0,"Medicine","http://www.archivesphysiotherapy.com"
"2057-1577","Virus Evolution","Oxford University Press",0,"Science","http://ve.oxfordjournals.org/"
"2057-2065","Experiment","nan",0,NULL,""
"2057-2093","Journal of Cybersecurity","Oxford University Press",0,"Science","http://cybersecurity.oxfordjournals.org/ "
"2057-2107","Neuroscience of Consciousness","Oxford University Press",0,"Medicine","http://nc.oxfordjournals.org/ "
"2057-3804","Cardio-Oncology","Biomed Central",0,NULL,NULL
"2057-3960","Npj Computational Materials","Nature Publishing Group",0,"Technology","http://www.nature.com/npjcompumats/"
"2057-4347","Clinical and Experimental Dental Research","Wiley",0,"Medicine","http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2057-4347/"
"2057-4967","Chinese Neurosurgical Journal","BioMed Central",0,"Medicine","http://www.cnjournal.org/"
"2057-570X","Applied Psychological Research Journal","Coventry university",0,"Philosophy. Psychology. Religion","http://e-learning.coventry.ac.uk/ojs/index.php/j1"
"2058-1963","Vestiges: Traces of Record","ISCA, University of Oxford",0,"Auxiliary sciences of history","http://www.vestiges-journal.info/"
"2058-4563","Journal of Innovation in Health Informatics","BCS, The Chartered Institute for IT",0,"Medicine","http://hijournal.bcs.org/index.php/jhi/index"
"2058-4601","Acta Radiologica Open","SAGE Publishing",0,"Medicine","http://arr.sagepub.com/"
"2058-511X","Kidney Disease and Transplantation","Biomed Central",0,NULL,NULL
"2058-5241","EFORT Open Reviews","The British Editorial Society of Bone & Joint Surgery",0,"Medicine","http://www.efortopenreviews.org/"
"2058-5462","British Art Studies","Yale University",0,"Fine Arts","http://www.britishartstudies.ac.uk"
"2058-5543","Journal of Urban Ecology","Oxford University Press",0,"Geography. Anthropology. Recreation","http://jue.oxfordjournals.org/ "
"2058-5888","Environmental Epigenetics","Oxford University Press",0,"Technology","http://eep.oxfordjournals.org/ "
"2058-6345","Big Data Analytics","Biomed Central",0,NULL,NULL
"2058-8615","Research Integrity and Peer Review","Biomed Central",0,NULL,NULL
"2059-0105","Npj Vaccines","Nature Publishing Group",0,"Medicine","http://www.nature.com/npjvaccines/"
"2059-0628","Advances in Simulation","BioMed Central",0,"Medicine","http://advancesinsimulation.biomedcentral.com/"
"2059-1225","The AshEse Journal of Agricultural Science (AJAS)","AshEse Visionary",0,NULL,""
"2059-1233","The AshEse Journal of Medicine and Medical Researches (AJMMR)","AshEse Visionary",0,NULL,""
"2059-1381","Renal Replacement Therapy","Biomed Central",0,NULL,NULL
"2059-1977","International Journal of  Research in Environmental  Studies","BluePen Journals",0,NULL,""
"2059-3007","Nephrology @ Point of Care","Wichtig International Limited",0,"Medicine","http://www.pointofcarejournals.com/poc/napoc"
"2059-3635","Signal Transduction and Targeted Therapy","Nature Publishing Group",0,"Medicine | Science","http://www.nature.com/sigtrans/"
"2059-5166","Hepatology, Medicine and Policy","BioMed Central",0,"Medicine","http://hmap.biomedcentral.com/"
"2059-5999","Finance and Society","University of Edinburgh",0,"Social Sciences","http://financeandsociety.ed.ac.uk/"
"2059-660X","International Journal of Business & Cyber Security","The Academy of Business & Retail Management (ABRM)",0,NULL,""
"2059-6618","International Journal of Business & Cyber Security","The Academy of Business & Retail Management (ABRM)",0,NULL,""
"2059-7347","Cancers of the Head & Neck","BioMed Central",0,"Medicine","http://cancersheadneck.biomedcentral.com/"
"2059-7827","The AshEse Journal of Physical Science (AJPS)","AshEse Visionary",0,NULL,""
"2059-7835","The AshEse Journal of Business Management (AJBM)","AshEse Visionary",0,NULL,""
"2059-9447","Annals of Medical and Biomedical Sciences","nan",0,NULL,""
"2060-4475","Biomechanica Hungarica","Mordon Bt.",0,"Medicine","http://biomechanica.hu/index.php/biomech/index"
"2060-467X","Journal of Environmental Geography","De Gruyter Open",0,"Geography. Anthropology. Recreation","http://www.degruyter.com/view/j/jengeo"
"2061-5094","Interventional Medicine & Applied Science","Akadémiai Kiadó",0,"Medicine","http://www.akademiai.com/content/121666"
"2061-9588","Ornis Hungarica","De Gruyter Open",0,"Science","http://www.degruyter.com/view/j/orhu"
"2062-087X","Corvinus Journal of Sociology and Social Policy","Corvinus University of Budapest",0,"Social Sciences","http://cjssp.uni-corvinus.hu"
"2063-0476","Studies in Agricultural Economics","Research Institute of Agricultural Economics",0,"Agriculture","http://www.aki.gov.hu/studies"
"2063-1588","Opuscula Zoologica Instituti Zoosystematici Et Oecologici Universitatis Budapestinensis","Eötvös Loránd University",0,"Science","http://opuscula.elte.hu/"
"2063-5346","European Chemical Bulletin","nan",0,NULL,""
"2063-7330","KOME: An International Journal of Pure Communication Inquiry","Hungarian Communication Studies Association",0,"Language and Literature","http://komejournal.com"
"2064-0404","Acta Periodica Duellatorum","De Gruyter Open",0,"Geography. Anthropology. Recreation","http://www.degruyter.com/view/j/apd"
"2064-2474","Acta Zoologica Academiae Scientiarum Hungaricae","Hungarian Academy of Sciences",0,"Science","http://actazool.nhmus.hu/"
"2064-2520","YBL Journal of Built Environment","De Gruyter Open",0,"Fine Arts","http://www.degruyter.com/view/j/jbe"
"2064-4574","Dissertationes Archaeologicae: Ex Instituto Archaeologico Universitatis De Rolando Eötvös Nominatae","Eötvös Loránd University",0,"Auxiliary sciences of history","http://dissarch.elte.hu"
"2064-5929","Belvedere Meridionale","Belvedere Meridionale LTD.",0,"Social Sciences","http://www.belvedere-meridionale.hu"
"2064-9940","Jelentés és Nyelvhasználat","University of Szeged",0,"Language and Literature","http://www.jeny.szte.hu"
"2065-1430","Acta Didactica Napocensia","Babes-Bolyai University, Cluj-Napoca",0,"Education","http://adn.teaching.ro/"
"2065-2445","Annals of Forest Research","Forest Research and Management Institute ICAS",0,"Agriculture","http://www.e-afr.org"
"2065-2534","Studii De Preistorie","Editura Cetatea de Scaun",0,"Auxiliary sciences of history","http://www.arheologie.ro/Preistorie/en/index.html"
"2065-3883","EuroEconomica","Danubius University of Galati",0,"Social Sciences","http://www.euroeconomica-danubius.ro/"
"2065-3891","Acta Universitatis Danubius : Juridica","Danubius University ",0,"Law","http://journals.univ-danubius.ro/index.php/juridica"
"2065-7471","Annals. Computer Science Series","Mirton Publishing House, Timisoara",0,"Technology","http://anale-informatica.tibiscus.ro/?page=00_primapagina&lang=en"
"2065-7647","Advances in Environmental Sciences","Bioflux Society",0,NULL,""
"2065-7714","ROMAI Journal","Romanian Society of Applied and Industrial Mathematics ",0,"Science","http://rj.romai.ro/"
"2065-8958","Public Reason","University of Bucharest",0,"Philosophy. Psychology. Religion","http://publicreason.ro"
"2065-9547","Studia Educatio Artis Gymnasticae","Cluj University Press",0,"Education","http://studia.ubbcluj.ro/serii/educatio/"
"2065-9601","Studia Universitatis Babes-Bolyai: Series Informatica","Babes-Bolyai University, Cluj-Napoca",0,"Science","http://www.cs.ubbcluj.ro/~studia-i/"
"2066-1363","Proenvironment Promediu","Bioflux Society",0,"Science","http://journals.usamvcluj.ro/index.php/promediu"
"2066-1886","Lex Et Scientia","Nicolae Titulescu University",0,"General Works","http://lexetscientia.univnt.ro/en/sectiuni.html"
"2066-2070","Experiment","nan",0,NULL,""
"2066-2483","Citius Altius Fortius","University of Pitesti",0,"Geography. Anthropology. Recreation","http://efsupit.ro/"
"2066-3129","Journal of Applied Computer Science & Mathematics","Stefan cel Mare University of Suceava",0,"Science","http://jacs.usv.ro/"
"2066-6594","Mathematics and Its Applications: Annals of the Academy of Romanian Scientists","Academy of Romanian Scientists Publishing House",0,"Science","http://www.mathematics-and-its-applications.com"
"2066-6934","Mathematical Modelling in Civil Engineering","De Gruyter Open",0,"Technology","http://www.degruyter.com/view/j/mmce"
"2066-7620","Advances in Environmental Sciences","Bioflux Society",0,NULL,""
"2066-7647","Advances in Environmental Sciences","Bioflux Society",0,"Science","http://www.aes.bioflux.com.ro"
"2066-7655","Human & Veterinary Medicine","Bioflux Society",0,NULL,""
"2066-7663","Human & Veterinary Medicine","Bioflux Society",0,NULL,""
"2066-7744","Acta Universitatis Sapientiae: Alimentaria","De Gruyter Open",0,"Technology","http://www.degruyter.com/view/j/ausal"
"2066-7752","Acta Universitatis Sapientiae: Mathematica","De Gruyter Open",0,"Science","http://www.degruyter.com/view/j/ausm"
"2066-7760","Acta Universitatis Sapientiae: Informatica","De Gruyter Open",0,"Science","http://www.degruyter.com/view/j/ausi"
"2066-7779","Acta Universitatis Sapientiae: Film and Media Studies","De Gruyter Open",0,"Fine Arts","http://www.degruyter.com/view/j/ausfm"
"2066-8279","Romanian Journal of Morphology and Embryology","University Published Non-Profit",0,NULL,NULL
"2066-9917","Journal of Plant Development ","Alexandru Ioan Cuza University of Iasi",0,"Agriculture","http://www.plant-journal.uaic.ro/home.htm"
"2067-1865","Cercetari Agronomice in Moldova","University of Agricultural Sciences and Veterinary Medicine of Iasi",0,"Agriculture","http://www.uaiasi.ro/CERCET_AGROMOLD/en-home"
"2067-225X","Revista Româna De Studii Baltice Si Nordice","Asociatia Romana pentru Studii Baltice si Nordice",0,"History (General) and history of Europe","http://www.arsbn.ro/RRSBN.htm"
"2067-2284","Human Geographies : Journal of Studies and Research in Human Geography","University of Bucharest",0,"Geography. Anthropology. Recreation","http://humangeographies.org.ro/"
"2067-2446","Acta Chemica Iasi","De Gruyter Open",0,"Science","http://www.degruyter.com/view/j/achi"
"2067-340X","Acta Universitatis Danubius : Oeconomica","Danubius University",0,"Social Sciences","http://journals.univ-danubius.ro/index.php/oeconomica/index"
"2067-3795","European Journal of Interdisciplinary Studies","Academy of Economic Studies (ASE)",0,"General Works","http://www.ejist.ro/"
"2067-4635","Forum Geografic","Universitaria Publishing House, Craiova",0,"Geography. Anthropology. Recreation","http://www.forumgeografic.ro"
"2067-5127","Revue Roumaine d'Histoire De l'Art : Série Beaux-Arts ","Romanian Academy ",0,"Fine Arts","http://www.rrha.istoria-artei.ro/"
"2067-5135","Studii De Stiinta Si Cultura","Vasile Goldis Western University, Arad",0,"Language and Literature","http://www.revista-studii-uvvg.ro/"
"2067-5860","Codrul Cosminului","Stefan cel Mare University of Suceava",0,"History (General) and history of Europe","http://atlas.usv.ro/www/codru_net/"
"2067-6344","Animal Biology & Animal Husbandry","Bioflux Society",0,NULL,""
"2067-6352","Advances in Agriculture & Botanics","Bioflux Society",0,NULL,""
"2067-6360","Extreme Life, Biospeology & Astrobiology","Bioflux Society",0,"Agriculture","http://www.elba.bioflux.com.ro/"
"2067-7693","CES Working Papers","Alexandru Ioan Cuza University of Iasi",0,"Political science","http://ceswp.uaic.ro/index.htm"
"2067-7855","Applied Medical Informatics","SRIMA Publishing House",0,"Medicine","http://ami.info.umfcluj.ro"
"2067-8223","International Journal of Conservation Science","Alexandru Ioan Cuza University of Iasi",0,"Fine Arts","http://www.ijcs.uaic.ro"
"2067-9033","Travaux De l'Institut De Speologie Emile Racovitza","Editura Academiei Romane",0,"Science","http://www.speotravaux.iser.ro"
"2067-9270","Revista Romaneasca Pentru Educatie Multidimensionala","Lumen",0,"Education","http://revistaromaneasca.ro/"
"2068-259X","Annals of the University Dunarea De Jos of Galati. Fascicle VI : Food Technology","Galati University Press",0,"Technology","http://www.ann.ugal.ro/tpa/"
"2068-2964","Acta Universitatis Sapientiae: Agriculture and Environment","De Gruyter Open",0,"Agriculture","http://www.degruyter.com/view/j/ausae"
"2068-3472","Intersections","University of Bucharest",0,"History America","http://www.intersections-journal.com"
"2068-4762","Bulletin of the Polytechnic Institute of Jassy,  Constructions, Architechture Section","Gheorghe Asachi Technical University of Jassy",0,"Technology","http://www.bipcons.ce.tuiasi.ro/"
"2068-6633","Eastern Journal of European Studies","Alexandru Ioan Cuza University of Iasi",0,"Geography. Anthropology. Recreation","http://ejes.uaic.ro/index.htm"
"2068-7389","Economy Transdisciplinarity Cognition","George Bacovia University from Bacau",0,"Social Sciences","http://etc.ugb.ro/home"
"2068-7583","Acta Universitatis Sapientiae: European and Regional Studies","De Gruyter Open",0,"Political science","http://www.degruyter.com/view/j/auseur"
"2068-8016","Social Change Review","De Gruyter Open",0,"Social Sciences","http://www.degruyter.com/view/j/scr"
"2068-8717","Scientific Annals of the Alexandru Ioan Cuza University of Iasi : Economic Sciences Series","Alexandru Ioan Cuza University of Iasi",0,"Social Sciences","http://anale.feaa.uaic.ro/anale/en/"
"2068-9861","Journal of Social Research & Policy","University of Oradea",0,"Social Sciences","http://www.jsrp.ro/"
"2068-9969","Journal of Urban and Regional Analysis","University of Bucharest",0,"Geography. Anthropology. Recreation","http://www.jurareview.ro/"
"2069-0398","Acta Universitatis Danubius : Communicatio","Danubius University ",0,"Language and Literature","http://journals.univ-danubius.ro/index.php/communicatio"
"2069-0983","Romanian Journal of Fiscal Policy","Editura ASE Bucuresti",0,"Law","http://www.rjfp.ro/"
"2069-2463","Medicamentul Veterinar  ","Romanian National Association of the Veterinary Products Manufacturers",0,"Agriculture","http://www.veterinarypharmacon.com/page/vet_drug_download"
"2069-3052","Logos & Episteme: An International Journal of Epistemology","Institutul European",0,"Philosophy. Psychology. Religion","http://www.logos-and-episteme.proiectsbc.ro/"
"2069-3230","Database Systems Journal","Bucharest Academy of Economic Studies Publishing House",0,"Science","http://www.dbjournal.ro"
"2069-4016","Annals of Philosophy, Social and Human Disciplines ","Universitatea \"Stefan cel Mare\" Suceava",0,"General Works","http://www.fig.usv.ro/socio-umane/index.html"
"2069-5837","Biointerface Research in Applied Chemistry","nan",0,NULL,""
